zhAddress,zhLink,zhName,zhNum,zhTime,zhType
深圳,position_detail.php?id=49184&keywords=&tid=0&lid=0,25667-腾讯云高级数据分析师（深圳）,1,2019-04-12,技术类
深圳,position_detail.php?id=49185&keywords=&tid=0&lid=0,30620-腾讯广告高级后台开发工程师（微信广告 深圳）,1,2019-04-12,技术类
北京,position_detail.php?id=49186&keywords=&tid=0&lid=0,CSIG08-安全业务技术高级架构师（北京）,1,2019-04-12,技术类
北京,position_detail.php?id=49187&keywords=&tid=0&lid=0,25666-投标策略高级经理（北京）,1,2019-04-12,市场类
上海,position_detail.php?id=49188&keywords=&tid=0&lid=0,25666-投标策略高级经理（上海）,1,2019-04-12,市场类
深圳,position_detail.php?id=49178&keywords=&tid=0&lid=0,27564-体育游戏内容合作,1,2019-04-12,产品/项目类
深圳,position_detail.php?id=49179&keywords=&tid=0&lid=0,27564-足球类游戏运营（深圳）,2,2019-04-12,产品/项目类
深圳,position_detail.php?id=49204&keywords=&tid=0&lid=0,26787-应用市场商务合作经理（深圳总部）,1,2019-04-12,市场类
深圳,position_detail.php?id=49205&keywords=&tid=0&lid=0,S2-S系统财务管理（深圳）,1,2019-04-12,职能类
北京,position_detail.php?id=49196&keywords=&tid=0&lid=0,CSIG16-AI智能信息流产品运营-内容运营,1,2019-04-12,产品/项目类
北京,position_detail.php?id=49197&keywords=&tid=0&lid=0,23673-兴趣PUSH运营,1,2019-04-12,内容编辑类
上海,position_detail.php?id=49198&keywords=&tid=0&lid=0,32032-高级游戏策划（上海）,1,2019-04-12,产品/项目类
深圳,position_detail.php?id=49199&keywords=&tid=0&lid=0,30628-腾讯广告算法高级工程师（研发中心-深圳）,1,2019-04-12,技术类
北京,position_detail.php?id=49200&keywords=&tid=0&lid=0,CSIG16-地图众包高级产品经理(北京）,2,2019-04-12,产品/项目类
深圳,position_detail.php?id=49189&keywords=&tid=0&lid=0,27564-体育向内容编辑（深圳）,1,2019-04-12,产品/项目类
深圳,position_detail.php?id=49190&keywords=&tid=0&lid=0,21645-高级法律顾问-跨境支付方向（深圳）,1,2019-04-12,职能类
深圳,position_detail.php?id=49191&keywords=&tid=0&lid=0,27553-腾讯音乐商业分析经理（深圳）,1,2019-04-12,市场类
深圳,position_detail.php?id=49218&keywords=&tid=0&lid=0,30934-海外市场推广项目经理 Project Manager of International Marketing ,1,2019-04-12,产品/项目类
深圳,position_detail.php?id=49206&keywords=&tid=0&lid=0,23518-移动游戏市场流量分析运营,1,2019-04-12,产品/项目类
深圳,position_detail.php?id=49207&keywords=&tid=0&lid=0,RP-UI视觉设计师,1,2019-04-12,设计类
北京,position_detail.php?id=49209&keywords=&tid=0&lid=0,CDG-HRBP-AMS（北京）,1,2019-04-12,职能类
深圳,position_detail.php?id=49210&keywords=&tid=0&lid=0,TME-全民K歌音频直播运营,1,2019-04-12,产品/项目类
深圳,position_detail.php?id=49211&keywords=&tid=0&lid=0,TME-全民K歌渠道运营经理（深圳）,1,2019-04-12,产品/项目类
深圳,position_detail.php?id=49212&keywords=&tid=0&lid=0,21087-渠道管理,1,2019-04-12,产品/项目类
北京,position_detail.php?id=49201&keywords=&tid=0&lid=0,17759-腾讯视频内容分析师（北京）,1,2019-04-12,内容编辑类
深圳,position_detail.php?id=49202&keywords=&tid=0&lid=0,30934-SLG海外手游运营策划（深圳）,1,2019-04-12,产品/项目类
北京,position_detail.php?id=49203&keywords=&tid=0&lid=0,26787-应用市场商务合作经理（北京）,1,2019-04-12,市场类
上海,position_detail.php?id=49229&keywords=&tid=0&lid=0,15616-高级技术美术(上海）,2,2019-04-12,设计类
深圳,position_detail.php?id=49219&keywords=&tid=0&lid=0,16810-腾讯动漫数据挖掘算法工程师,1,2019-04-12,技术类
深圳,position_detail.php?id=49220&keywords=&tid=0&lid=0,PCG14-应用宝合作渠道产品经理（深圳）,1,2019-04-12,产品/项目类
深圳,position_detail.php?id=49221&keywords=&tid=0&lid=0,27092-应用宝广告合作产品策划经理（深圳）,1,2019-04-12,产品/项目类
深圳,position_detail.php?id=49223&keywords=&tid=0&lid=0,PCG09-信息流平台高级产品经理,1,2019-04-12,产品/项目类
深圳,position_detail.php?id=49213&keywords=&tid=0&lid=0,23671-企鹅号后台开发高级工程师（深圳）,1,2019-04-12,技术类
深圳,position_detail.php?id=49214&keywords=&tid=0&lid=0,26699-智慧零售后台开发工程师,1,2019-04-12,技术类
深圳,position_detail.php?id=49215&keywords=&tid=0&lid=0,26699-智慧零售前端开发工程师（深圳）,1,2019-04-12,技术类
深圳,position_detail.php?id=49216&keywords=&tid=0&lid=0,21309-在线教育高级交互设计师（深圳）,2,2019-04-12,设计类
北京,position_detail.php?id=49217&keywords=&tid=0&lid=0,19157-政府安全合作项目技术实施工程师（北京）,1,2019-04-12,技术类
深圳,position_detail.php?id=49230&keywords=&tid=0&lid=0,21309-儿童英语启蒙产品ABCmouse产品策划经理,1,2019-04-12,产品/项目类
深圳,position_detail.php?id=49231&keywords=&tid=0&lid=0,21062-叙事向手游客户端开发高级工程师（深圳）,1,2019-04-12,技术类
深圳,position_detail.php?id=49232&keywords=&tid=0&lid=0,TEG06-Mac终端安全运营高级工程师（深圳）,1,2019-04-12,技术类
深圳,position_detail.php?id=49233&keywords=&tid=0&lid=0,18425-支付平台开发工程师,1,2019-04-12,技术类
上海,position_detail.php?id=49234&keywords=&tid=0&lid=0,15618-游戏客户端开发工程师（上海）,1,2019-04-12,技术类
北京,position_detail.php?id=49224&keywords=&tid=0&lid=0,27730-推荐算法工程师,1,2019-04-12,技术类
深圳,position_detail.php?id=49225&keywords=&tid=0&lid=0,19332-企点渠道销售经理岗（深圳）,1,2019-04-12,市场类
深圳,position_detail.php?id=49226&keywords=&tid=0&lid=0,PCG09-信息流项目经理,1,2019-04-12,产品/项目类
深圳,position_detail.php?id=49227&keywords=&tid=0&lid=0,26787-游戏合作商务,1,2019-04-12,市场类
深圳,position_detail.php?id=49228&keywords=&tid=0&lid=0,26787-策略分析经理（深圳）,1,2019-04-12,市场类
北京,position_detail.php?id=49242&keywords=&tid=0&lid=0,30359-web前端高级开发工程师,1,2019-04-12,技术类
北京,position_detail.php?id=49243&keywords=&tid=0&lid=0,25663-泛互联网解决方案架构师（北/上/深）（北京）,1,2019-04-12,技术类
上海,position_detail.php?id=49244&keywords=&tid=0&lid=0,25663-泛互联网解决方案架构师（北/上/深）（上海）,1,2019-04-12,技术类
深圳,position_detail.php?id=49245&keywords=&tid=0&lid=0,32032-互娱沙盒类手游服务端开发（深圳）   ,1,2019-04-12,技术类
北京,position_detail.php?id=49235&keywords=&tid=0&lid=0,PCG04-腾讯视频移动终端测试开发工程师（北京）,1,2019-04-12,技术类
深圳,position_detail.php?id=49236&keywords=&tid=0&lid=0,PCG04-腾讯视频移动终端测试开发工程师（深圳）,1,2019-04-12,技术类
深圳,position_detail.php?id=49237&keywords=&tid=0&lid=0,15569-QQ飞车手游高级角色原画设计师(深圳）,1,2019-04-12,设计类
北京,position_detail.php?id=49238&keywords=&tid=0&lid=0,25663-泛互联网售中架构师（北/上/深）,1,2019-04-12,技术类
深圳,position_detail.php?id=49239&keywords=&tid=0&lid=0,25663-泛互联网售中架构师（北/上/深）,1,2019-04-12,技术类
上海,position_detail.php?id=49240&keywords=&tid=0&lid=0,25663-泛互联网售中架构师（北/上/深）,1,2019-04-12,技术类
深圳,position_detail.php?id=49254&keywords=&tid=0&lid=0,22989-iOS开发高级工程师,1,2019-04-12,技术类
深圳,position_detail.php?id=49255&keywords=&tid=0&lid=0,22989-Android开发高级工程师,1,2019-04-12,技术类
杭州,position_detail.php?id=49256&keywords=&tid=0&lid=0,29777-工业云后台高级开发工程师（杭州）,2,2019-04-12,技术类
北京,position_detail.php?id=49246&keywords=&tid=0&lid=0,29314-合资公司CFO（张家口）,1,2019-04-12,职能类
深圳,position_detail.php?id=49247&keywords=&tid=0&lid=0,TME-全民K歌产品经理（渠道策略）,1,2019-04-12,产品/项目类
深圳,position_detail.php?id=49248&keywords=&tid=0&lid=0,PCG10-NLP/CV算法工程师,1,2019-04-12,技术类
北京,position_detail.php?id=49249&keywords=&tid=0&lid=0,27730-短视频个性化推荐算法工程师,1,2019-04-12,技术类
北京,position_detail.php?id=49250&keywords=&tid=0&lid=0,27730-分布式数据架构,1,2019-04-12,技术类
深圳,position_detail.php?id=49251&keywords=&tid=0&lid=0,32032-互娱沙盒类手游客户端开发（深圳）,1,2019-04-12,技术类
深圳,position_detail.php?id=49241&keywords=&tid=0&lid=0,25663-泛互联网解决方案架构师（北/上/深）（深圳总部）,1,2019-04-12,技术类
成都,position_detail.php?id=49266&keywords=&tid=0&lid=0,25666-腾讯云西南区域泛互联网行业销售（成都）,1,2019-04-12,市场类
上海,position_detail.php?id=49267&keywords=&tid=0&lid=0,24987-3D场景美术（上海）,1,2019-04-12,设计类
杭州,position_detail.php?id=49257&keywords=&tid=0&lid=0,29777-工业云前端高级开发工程师（杭州）,2,2019-04-12,技术类
深圳,position_detail.php?id=49258&keywords=&tid=0&lid=0,PCG10-搜索高级算法工程师-图像方向,1,2019-04-12,技术类
深圳,position_detail.php?id=49259&keywords=&tid=0&lid=0,23518-社交合作运营经理,1,2019-04-12,产品/项目类
北京,position_detail.php?id=49261&keywords=&tid=0&lid=0,22851-腾讯视频电影频道运营编辑（北京）,1,2019-04-12,内容编辑类
深圳,position_detail.php?id=49262&keywords=&tid=0&lid=0,TEG10-开源协同项目经理,1,2019-04-12,产品/项目类
深圳,position_detail.php?id=49263&keywords=&tid=0&lid=0,21882-算法工程师（深圳）,1,2019-04-12,技术类
成都,position_detail.php?id=49252&keywords=&tid=0&lid=0,PCG04-android开发工程师(成都),1,2019-04-12,技术类
深圳,position_detail.php?id=49253&keywords=&tid=0&lid=0,21087-游戏内外部渠道管理（深圳）,1,2019-04-12,产品/项目类
深圳,position_detail.php?id=49277&keywords=&tid=0&lid=0,GY0-【国际业务部】搜索业务高级算法工程师(深圳) ,1,2019-04-12,技术类
深圳,position_detail.php?id=49278&keywords=&tid=0&lid=0,23518-移动游戏渠道运营经理（微信/手Q/二级渠道）,2,2019-04-12,产品/项目类
武汉,position_detail.php?id=49269&keywords=&tid=0&lid=0,25663-泛互联网业务高级架构师（武汉）,1,2019-04-12,技术类
深圳,position_detail.php?id=49270&keywords=&tid=0&lid=0,25664-政务生态产品运营经理（深圳）,1,2019-04-12,产品/项目类
北京,position_detail.php?id=49271&keywords=&tid=0&lid=0,21309-儿童英语启蒙产品ABCmouse产品运营经理（北京）,1,2019-04-12,产品/项目类
北京,position_detail.php?id=49272&keywords=&tid=0&lid=0,30625-腾讯广告金融行业高级销售经理-组长（北京）,1,2019-04-12,市场类
上海,position_detail.php?id=49273&keywords=&tid=0&lid=0,30361-腾讯社区产品策划（上海）,1,2019-04-12,产品/项目类
深圳,position_detail.php?id=49274&keywords=&tid=0&lid=0,25927-游戏测试项目经理,4,2019-04-12,产品/项目类
深圳,position_detail.php?id=49264&keywords=&tid=0&lid=0,21882-腾讯医典高级前端开发（深圳）,1,2019-04-12,技术类
深圳,position_detail.php?id=49265&keywords=&tid=0&lid=0,30359-客户端开发工程师,2,2019-04-12,技术类
深圳,position_detail.php?id=49285&keywords=&tid=0&lid=0,27553-腾讯音乐后台开发工程师（深圳）,1,2019-04-12,技术类
深圳,position_detail.php?id=49286&keywords=&tid=0&lid=0,30626-腾讯广告KA渠道赋能经理（深圳）,1,2019-04-12,产品/项目类
深圳,position_detail.php?id=49287&keywords=&tid=0&lid=0,22989-腾讯云块存储高级运营开发工程师（深圳）,1,2019-04-12,技术类
深圳,position_detail.php?id=49280&keywords=&tid=0&lid=0,24012-游戏社交Android开发负责人（深圳）,1,2019-04-12,技术类
深圳,position_detail.php?id=49281&keywords=&tid=0&lid=0,24012-手游后台开发工程师（深圳）,1,2019-04-12,技术类
深圳,position_detail.php?id=49282&keywords=&tid=0&lid=0,21882-腾讯医典会员产品运营经理（深圳）,1,2019-04-12,产品/项目类
深圳,position_detail.php?id=49283&keywords=&tid=0&lid=0,21882-积分商城产品运营经理（深圳）,1,2019-04-12,产品/项目类
深圳,position_detail.php?id=49284&keywords=&tid=0&lid=0,21882-会员生活特权产品运营经理（深圳）,1,2019-04-12,产品/项目类
